Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
28,12322362,"cosmic archer","2024-06-28 16:55:22",1.00000,3,cosmicarcher
29,11786588,INF2008_P5_2,"2024-06-29 06:04:13",1.00000,1,"beatayeo,limxy00,r2303254,sweejunhong711,unknownhat"
30,12261836,"Lee jeong ju22","2024-07-04 12:46:54",1.00000,21,leejeongju22
31,12308424,"[Deleted] a4d09393-f024-4260-b249-c499582e3a14","2024-07-01 06:45:57",1.00000,13,del=6a5f78d685d7b46e
32,12308489,"Liam Dzer","2024-07-01 05:38:09",1.00000,9,liamdzer
33,12339607,"Glenn Benedict Montesclaros","2024-07-02 16:09:26",1.00000,1,glennbenedict
34,737329,Mentos05,"2024-07-04 01:07:10",1.00000,3,mentos05
35,12344776,Icemann,"2024-07-03 17:49:12",1.00000,1,icemanrod
36,12310936,"HUASHENG HUANG","2024-07-08 07:28:35",1.00000,3,huashenghuang
37,12338391,emryswhite,"2024-07-04 20:45:46",1.00000,16,emryswhite
38,12349807,zxf,"2024-07-05 02:29:58",1.00000,2,saedghgdg
39,12030819,"Takuma Arimitsu","2024-07-06 10:41:33",1.00000,15,"takumaarimitsu,yoshinoyuji"
40,12359142,"ding yanjun","2024-07-07 09:59:57",1.00000,2,dingyanjun
41,12347654,"life is geme","2024-07-17 15:45:13",1.00000,14,lifeisgeme
42,12352593,Surajthakur21,"2024-07-07 18:52:30",1.00000,2,surajthakur21
43,12361929,"Ling Ma","2024-07-08 01:10:46",1.00000,3,lingma
44,11865969,"Renuka Oladri","2024-07-08 12:50:01",1.00000,1,renukaoladhri
45,12369112,JJRR01,"2024-07-09 09:50:18",1.00000,1,jjrr01
46,12377354,gam0454,"2024-07-12 01:38:42",1.00000,13,gam0454
47,12377878,"Mohamed abdullah ali","2024-07-11 08:29:18",1.00000,9,mohamedabdullahali
48,11765958,ShinCB,"2024-07-12 02:43:40",1.00000,16,shincb
49,12376913,gagagesfd,"2024-07-12 03:49:58",1.00000,18,gagagesfd
50,12387743,hwang246,"2024-07-13 21:13:11",1.00000,3,hwang246
51,12387807,"Steven Yang #2","2024-07-13 22:13:13",1.00000,3,stevenyang55
52,12387829,"Haoran #4","2024-07-13 22:33:16",1.00000,3,cs4440
53,12390828,"Kang Yuan","2024-07-15 02:08:58",1.00000,3,kangyuan233
54,12391010,quarter.w,"2024-07-15 03:24:58",1.00000,3,quarter
55,12393012,"MRUDULA ASHOK","2024-07-15 14:11:33",1.00000,3,mrudulaashok
56,12393114,"NIKHILESWAR GUNDALA","2024-07-15 14:28:05",1.00000,3,nikhileswargundala
57,12393335,"Yode Yuan","2024-07-15 15:39:23",1.00000,3,yodeyuan
58,12393458,"Ashvini Patel","2024-07-15 16:32:15",1.00000,3,ashu141093
59,12393484,Yubo,"2024-07-15 16:44:47",1.00000,3,lalago
60,12393785,keningzhang9,"2024-07-15 18:48:58",1.00000,3,keningzhang9
61,12393815,"Maksim Tybar","2024-07-15 19:07:24",1.00000,3,maxtybar
62,12393956,"Shaoyang Wang07","2024-07-15 20:18:28",1.00000,3,shaoyangwang07
63,12394121,mzhang0819,"2024-07-15 22:18:19",1.00000,4,mzhang0819
64,12394145,"Shivangi Ajmeri","2024-07-15 22:20:19",1.00000,3,shivangiajmeri
65,12394172,"Shubham S Zope","2024-07-15 22:42:09",1.00000,3,shubhamszope
66,12394192,"Sanghun Mok","2024-07-15 23:01:24",1.00000,4,sanghunmok
67,3924086,"Jovi Zhang","2024-07-15 23:14:58",1.00000,3,shz275
68,12394249,"John Cilla","2024-07-15 23:43:10",1.00000,3,johncilla
69,12394431,"Xiaoxing Qiu","2024-07-16 01:18:49",1.00000,3,xiaoxingqiu
70,12394665,"Zhiqiang Sun","2024-07-16 02:54:55",1.00000,3,boscosuen
71,12394804,"Sonia Dias Lou","2024-07-16 03:44:08",1.00000,3,soniadiaslou
72,12394849,"Zhengya Wang","2024-07-16 04:02:22",1.00000,3,zhengyawang
73,12394922,"Ziyu Wang #2","2024-07-16 04:33:19",1.00000,3,ziyuwang111
74,12394998,Yasaswi,"2024-07-16 05:05:13",1.00000,3,yasaswi08
75,12395045,"Jai Ram Reddy Dubala","2024-07-16 05:23:23",1.00000,3,jairamreddydubala
76,12395199,"Navya Reddymolu","2024-07-16 06:07:51",1.00000,3,navyareddymolu
77,8250394,"Jasmine Wang","2024-07-16 06:52:27",1.00000,3,chingwenwang
78,12395163,"Rahul Bhattacharyaa","2024-07-16 08:38:51",1.00000,4,rahulbhattacharyaa
79,11816192,Async0,"2024-07-16 12:52:06",1.00000,1,async0
80,12396931,"[Deleted] a010112c-6278-4bfd-997b-d4acd13b80cc","2024-07-16 13:40:52",1.00000,1,del=d6a01e11e5ff758b
81,12397168,"prashil soni","2024-07-16 14:42:02",1.00000,3,prashilsoni
82,12397323,"Omri Mizrahi","2024-07-16 15:25:42",1.00000,4,omrimizrahi
83,11321102,"Diwakar Kashyap","2024-07-16 16:04:32",1.00000,4,diwakarkashyap
84,12397470,"Hemanth Kumar Gottipati","2024-07-17 05:48:04",1.00000,5,hemanthg77
85,12393306,"Florian Carstens","2024-07-16 18:03:18",1.00000,19,floriancarstens
86,12397626,"Ze Jia Lim","2024-07-16 16:58:05",1.00000,3,zejialim
87,12398101,"Venumadhav Dudi","2024-07-16 19:36:56",1.00000,3,venumadhavdudi
88,12398132,"Yan Ge","2024-07-16 19:59:18",1.00000,3,yange14
89,12398164,"Sreelekha Kopparapu","2024-07-16 20:18:35",1.00000,4,sreelekhakopparapu
90,12398268,"Shenyi Lu","2024-07-16 21:16:39",1.00000,3,shenyilu1
91,12398280,wanghaonanlpc2,"2024-07-16 21:23:22",1.00000,4,wanghaonanlpc2
92,11638340,"Zheyuan Huo","2024-07-16 21:26:13",1.00000,4,zheyuanhuo
93,12398313,"Soumya Kasoji","2024-07-16 21:49:09",1.00000,3,soumyakasoji
94,12398482,"Sarvesh Shukla","2024-07-16 23:51:45",1.00000,3,sarvesh23
95,12398489,"Gogikar mandeep","2024-07-16 23:57:18",1.00000,3,gogikarmandeep
96,12398554,mervetokat26,"2024-07-17 00:55:58",1.00000,3,mervetokat26
97,12398582,"Cindy Popa ","2024-07-17 01:11:52",1.00000,3,cindypopa
98,12398707,SEWO,"2024-07-17 01:59:42",1.00000,1,seungwoojang93
99,12398846,ywang2416,"2024-07-17 02:51:43",1.00000,3,ywang2416
100,12398877,"shuqian du","2024-07-17 03:01:35",1.00000,3,shuqiandu
101,5713398,ChangLiu4198,"2024-07-17 03:53:50",1.00000,3,changliu4198
102,12399089,"Ravi Teja Dodle","2024-07-17 04:06:11",1.00000,3,ravitejadodle
103,12399166,"Sakar Dhakal","2024-07-17 04:34:07",1.00000,3,sakard
104,12399182,Yining_Xu_0301,"2024-07-17 04:45:32",1.00000,3,yiningxu0301
105,12399185,adrianarotaru172,"2024-07-17 04:46:14",1.00000,3,adrianarotaru172
106,12399221,"Masood Ali Syed","2024-07-17 04:57:51",1.00000,3,masoodalisyed
107,12399245,"Muhammad Hunzala Leghari","2024-07-17 05:05:30",1.00000,3,hunileghari
108,12399282,"Santhosh K Polabathina","2024-07-17 05:22:27",1.00000,3,santhoshkpolabathina
109,12399335,"Surya Naidu Rongali","2024-07-17 05:46:11",1.00000,4,suryanaidurongali
110,12399343,"Akhila Gogineni","2024-07-17 05:44:19",1.00000,3,akhilagogineni
111,12399348,"Prem battula","2024-07-17 05:46:12",1.00000,3,prembattula
112,12399352,"Ajay kumar Bikkina","2024-07-17 05:48:00",1.00000,3,ajaykumarbikkina
113,12399358,"K Kathi Patel","2024-07-17 05:49:50",1.00000,3,kkathipatel
114,12399374,"Paila Gopinath","2024-07-17 05:52:23",1.00000,3,pailagopinath
115,12399385,"Geetha Gurram","2024-07-17 05:55:28",1.00000,3,geethagurram22
116,12399389,"Shikan Lian","2024-07-17 05:56:34",1.00000,3,shikanlian
117,12399393,"Srijitha katkuri ","2024-07-17 05:58:02",1.00000,3,srijithakatkuri
118,12399407,"Khader Basha Shaik","2024-07-17 06:01:42",1.00000,3,khaderbashashaik
119,12399420,"Akhila Sama ","2024-07-17 06:04:54",1.00000,3,akhilasama
120,12399453,"Chaitanya Rajulapati","2024-07-17 06:11:34",1.00000,3,chaitanyarajulapati
121,12399651,"SaiSwetha C","2024-07-17 07:08:22",1.00000,4,saiswethac
122,12386299,SlavaPanin,"2024-07-17 07:39:31",1.00000,15,slavapanin
123,12399991,"Shanmukh Koritala","2024-07-17 08:20:04",1.00000,3,shanmukhkoritala
124,12400667,ZianZhang2,"2024-07-17 11:38:39",1.00000,3,zianzhang2
125,12401769,"Hunking Zhao","2024-07-17 17:39:34",1.00000,3,hunking
126,12401789,Xue_Cui24,"2024-07-17 17:49:19",1.00000,3,xuecui24
127,12401729,"Fnu Kirti","2024-07-17 17:53:44",1.00000,3,fnukirti
128,12401889,"Maisie Kincaid","2024-07-17 18:26:52",1.00000,3,maisiekincaid
129,12401914,kexin_kaggle,"2024-07-17 18:36:13",1.00000,3,kexinkaggle
130,12402008,"Siddharth Jhaveri","2024-07-17 19:16:20",1.00000,3,siddujhaveri
131,12402024,"Jia Chen #2","2024-07-17 19:43:35",1.00000,3,anniechansunny
132,12402090,"Kefan Li","2024-07-17 19:58:57",1.00000,4,terminatorlkfhaha
133,12387184,"Salem Fradi","2024-07-17 20:00:04",1.00000,10,salemfradi
134,12402172,royisriddhi,"2024-07-17 20:31:42",1.00000,3,royisriddhi
135,12402224,"nabina sanjel","2024-07-17 20:59:48",1.00000,3,nabinasanjel
136,12402311,"Mia Ngx","2024-07-17 21:59:43",1.00000,3,miangx
137,12402314,Jiaqi143,"2024-07-17 22:01:35",1.00000,3,jiaqi143
138,12402370,YichangHuang98,"2024-07-17 22:41:16",1.00000,4,yichanghuang98
139,12402388,"Xueyin La","2024-07-17 22:52:32",1.00000,3,xueyinla
140,12402391,"Xinhe Yang","2024-07-17 23:16:51",1.00000,4,xinheyang
141,12402418,"Minghao Yang #2","2024-07-17 23:21:47",1.00000,3,minghaoyang97
142,12402442,"Deepson Shrestha","2024-07-17 23:49:02",1.00000,3,deepsonshrestha5006
143,12402473,"Natasha Stella","2024-07-18 00:10:20",1.00000,3,natashastella
144,12402507,"Harini Madduri #2","2024-07-18 00:33:33",1.00000,3,kavyasreeharini
145,12402505,Aote,"2024-07-18 00:36:35",1.00000,4,aoteumwelt
146,12402516,"Rajkumar Rajendran #3","2024-07-18 00:39:20",1.00000,3,rajkumarrajendran95
147,12402553,"Abdul Rehman Shaik97","2024-07-18 01:02:40",1.00000,3,abdulrehmanshaik97
148,12402584,"Anjali Mulye","2024-07-18 01:15:09",1.00000,3,anjalimulye
149,12402670,"Joshua DSouza10","2024-07-18 01:49:38",1.00000,3,joshuadsouza10
150,12402802,"Nidhi Hookeri","2024-07-18 02:40:49",1.00000,3,nidhihookeri2
151,12402828,"Yiwei(Rain) Yuan","2024-07-18 02:50:19",1.00000,3,yiweirainyuan
152,12402869,"Shawn Liu0322","2024-07-18 03:06:00",1.00000,3,shawnliu0322
153,12402916,"Sukhsimran Banwait","2024-07-18 03:23:08",1.00000,3,sukhsimranbanwait
154,12402934,"mecheref bachir","2024-07-18 03:30:09",1.00000,3,mecherefbachir
155,12402941,"Rohit Kanneganti","2024-07-18 03:32:48",1.00000,3,rohitkanneganti
156,12402963,"Ajith Kumar VSK","2024-07-18 03:41:45",1.00000,3,ajithkumarvsk
157,12402967,"Yiran Si","2024-07-18 03:44:30",1.00000,3,iiiivy
158,12403027,"Jimmy Ni","2024-07-18 04:10:35",1.00000,3,jimmyni
159,12402865,"Varshini maharja","2024-07-18 04:16:50",1.00000,4,varshinimaharja
160,12403046,MuXu123,"2024-07-18 04:20:40",1.00000,3,muxu123
161,12403057,"Selena Wang","2024-07-18 04:26:41",1.00000,3,selenawzy
162,12403095,AmeliaMTWong,"2024-07-18 04:51:31",1.00000,3,ameliamtwong
163,12396285,"Sanjay Steephanraj","2024-07-18 05:58:12",1.00000,6,sanjaysteephanraj
164,12396284,"Sujit S","2024-07-18 05:03:53",1.00000,10,ssujits
165,12404668,mansurr,"2024-07-19 14:53:59",1.00000,2,mansurr
166,12075696,Andrey6158,"2024-07-26 18:27:56",1.00000,99,andrey6158
167,9918351,"Nawin Raj Kumar S","2024-07-19 15:09:24",1.00000,4,nawinrajkumars
168,12409241,"Prerna Aher","2024-07-19 20:28:57",1.00000,3,prernaaa
169,12409394,"Syeda Nazneen25","2024-07-19 22:43:55",1.00000,3,syedanazneen25
170,10515641,"Erdoğan Peker","2024-07-19 22:57:54",1.00000,1,erdoanpeker
171,12409413,"Jyothish Allimilli","2024-07-19 23:14:54",1.00000,3,jyothishallimilli
172,12409805,HTAnh2003,"2024-07-20 04:58:42",1.00000,1,htanh2003
173,12411781,"FAHAD UR RAHAMAN","2024-07-20 19:38:51",1.00000,3,fahadrahaman
174,12411938,"Anlin Yang","2024-07-20 21:47:11",1.00000,4,anlinyang
175,5933359,lali999,"2024-07-21 02:13:49",1.00000,3,lali999
176,12412458,"Khirupa Raj108","2024-07-21 05:17:16",1.00000,3,khiruparaj108
177,12412626,"Samarjeet Reddy","2024-07-21 06:34:30",1.00000,3,samarjeetreddy
178,12413554,"Hyokwang Kim","2024-07-21 12:57:22",1.00000,3,hyokwangkimm
179,12413909,"MINHAS UR REHMAN ","2024-07-21 14:57:23",1.00000,3,minhasurrehman
180,12414066,MoSoliman22,"2024-07-21 16:06:18",1.00000,3,mosoliman22
181,12414349,"Bilal Tahir187","2024-07-21 18:20:08",1.00000,3,bilaltahir187
182,7840001,mohammadReza,"2024-07-22 08:30:47",1.00000,23,mrdm92
183,12414405,"Apurva Rane","2024-07-21 19:00:07",1.00000,3,apurvar25
184,12414571,"Ximeng Wu","2024-07-21 20:46:58",1.00000,4,ximengwu
185,12414800,"Haoyuan Ma227","2024-07-22 00:39:26",1.00000,3,haoyuanma227
186,12414907,"Vivek Sarnaik","2024-07-22 01:46:17",1.00000,3,viveksarnaik
187,12372957,TuMinhDang,"2024-07-22 02:46:17",1.00000,1,darkswordmg
188,9373488,"basset kerouche","2024-07-22 12:05:14",1.00000,2,bassetkerouche
189,12417664,HardevRanglani,"2024-07-22 16:25:40",1.00000,3,hardev
190,12406574,"t xbais","2024-08-07 00:46:30",1.00000,31,txbais
191,9985396,Nyaore,"2024-07-24 07:59:05",1.00000,3,nyaore
192,12421231,"quimio drive","2024-07-24 15:56:21",1.00000,17,quimiodrive
193,12408744,n3onnhowever,"2024-08-06 14:28:50",1.00000,24,n3onnhowever
194,12429910,400283-สันติภาพ,"2024-07-26 02:50:49",1.00000,4,santipabtongchan
195,12429943,400281-ศิวกร,"2024-07-26 02:55:06",1.00000,5,siwakornseeswan
196,12430519,"Aaryan Gupta #4","2024-07-26 05:54:44",1.00000,1,aaryyang
197,7904363,"Hanzhang Fang","2024-07-26 16:31:39",1.00000,1,hanzhangfang
198,12433655,"Binte Naeem","2024-07-27 08:13:53",1.00000,3,bintenaeem
199,12432958,"Barirah Zainal Abidin","2024-07-27 13:14:44",1.00000,4,barirahzainal
200,9636988,njitcs677hf78,"2024-07-28 14:44:04",1.00000,2,njitcs677hf78
201,12423107,"Kirithik Saran ","2024-07-29 02:34:29",1.00000,2,kirithiksaran
202,12399678,"DANISH YOUSUF","2024-08-08 09:59:40",1.00000,29,danishyousuf19
203,12439917,Pan090611,"2024-07-29 12:39:02",1.00000,2,pan090611
204,4458975,WilderB,"2024-07-30 04:17:56",1.00000,3,wilder23
205,12447350,hoon0303,"2024-07-31 12:03:13",1.00000,2,hoon0303
206,12451536,usng,"2024-08-01 12:04:09",1.00000,1,tph0203
207,12448929,"Stavros K. Stavroglou","2024-08-02 20:38:57",1.00000,2,skstavroglou
208,12458322,"Steven Burroughs","2024-08-03 04:55:52",1.00000,4,stevenburroughs
209,12467715,"Rashwinth ","2024-08-06 03:09:26",1.00000,1,rashwinth
210,12422869,"yaoyu daniel zhang","2024-08-07 03:12:47",1.00000,6,yaoyudanielzhang
211,12470640,"M___Reda TOUIL","2024-08-07 12:43:34",1.00000,3,mredatouil
212,12423686,"Pierre Ayfri","2024-07-24 11:18:42",0.99521,10,pierreayfri
213,12306018,"Naveen Malla","2024-07-24 08:38:03",0.99282,8,naveenmalla046
214,12267475,class2-team3,"2024-07-14 02:38:49",0.99282,56,"hamamotoriku1,iniadyuuuuuu,nakayamaakari,ruiruialt,tsukadamao"
215,12330454,"Aldi Raffa Wibawa","2024-07-02 05:40:48",0.99043,14,aldiraffawibawa
216,12370902,"Santhan Karnala","2024-07-23 10:28:41",0.99043,18,santhankarnala
217,12439780,Black_Eyed,"2024-07-29 11:50:13",0.99043,3,blackeyed
218,12234145,ShouLiu,"2024-06-10 08:32:14",0.98803,2,shouliu
219,12228770,Mingyangding,"2024-06-10 08:49:27",0.98803,2,mingyangding
220,12246807,lris777,"2024-06-12 16:24:48",0.98803,5,lris777
221,12241211,diegcg,"2024-06-19 09:31:45",0.98803,14,diegcg
222,12336885,李奕霖.,"2024-07-02 05:56:19",0.98803,1,lyil123
223,12219988,"sihe blu","2024-07-06 13:15:33",0.98803,1,siheblu
224,12356515,"yq line","2024-07-18 14:49:29",0.98803,4,yqline
225,12425045,"Claudia Oliveira 19","2024-07-24 16:51:29",0.98803,6,claudiaoliveira19
226,12241849,"Igor #16","2024-06-11 17:50:22",0.98564,1,igorlenovo
227,12250568,YuntechIM_B11123022,"2024-06-13 12:48:05",0.98564,7,yuntechimb11123022
228,12318477,"Anifa Aulia","2024-06-29 10:57:42",0.98564,9,anifaauliaabdari
229,12392228,安知玫瑰,"2024-07-21 01:53:33",0.97846,30,jujudai
230,12428472,"[Deleted] 6a927635-9ff1-41fa-9dfc-65f03ea3f3ee","2024-07-26 17:35:12",0.97846,6,del=2230920941d3be20
231,11423517,"Quang Nguyen Duc","2024-08-01 05:12:54",0.96889,1,gmquangducnguyen
232,12453103,"Petr Zdráhal","2024-08-01 20:26:26",0.96411,1,petrzdrhal
233,9520058,"Martín Badino","2024-07-26 18:46:36",0.94019,14,martnbadino
234,12448366,vineet3jangir,"2024-08-03 07:29:18",0.94019,14,vineet3jangir
235,3186792,locktk,"2024-06-18 08:16:13",0.92583,28,takeikut
236,12418922,"Flavia Santos #2","2024-07-29 15:10:52",0.90191,37,flaviasantos1908
237,12260235,AyanavaSarkar,"2024-06-18 06:07:44",0.89473,24,ayaisthebest
238,10264573,"Masaaki Oba","2024-07-09 09:39:00",0.89473,45,masaakioba
239,12325962,"Jose Alvarado","2024-07-06 15:36:33",0.89473,10,josealvaradopm
240,12375248,"Juan Jose Alvarado Ramos","2024-07-10 15:26:36",0.89473,1,jalvaradoramos
241,9710680,gominseong96,"2024-07-18 01:16:13",0.89473,9,gominseong96
242,12456162,"David Palazón Palau","2024-08-06 09:39:44",0.89473,20,davidpalaznpalau
243,12299760,"Rina Guo","2024-06-29 17:36:20",0.87559,5,rinaguo
244,12418238,Bahsiik,"2024-07-23 21:00:48",0.85885,15,bahsiik
245,12364292,antaww,"2024-07-21 21:55:53",0.85406,8,antaww
246,12346176,qiyue,"2024-07-10 06:34:38",0.84928,14,qiyueah
247,12302643,"Jamie WoodUK","2024-06-24 14:17:18",0.84449,1,jamiewooduk
248,12023472,"Tsuyoshi Hitoe","2024-06-14 15:15:15",0.83732,2,tsuyoshihitoe
249,12246283,YuntechIM_B11123209,"2024-06-13 14:45:42",0.83492,5,yuntechimb11123209
250,3260932,jimilibilibob,"2024-07-30 07:47:48",0.83253,20,jimilibilibob
251,12433967,"Giridhari Meher","2024-07-27 11:05:21",0.83014,4,giridharimeher
252,9609693,shvalin,"2024-06-15 14:05:49",0.82775,6,shvalin
253,12340593,milanfx26,"2024-07-04 16:53:56",0.82535,23,milanfx26
254,12342779,aki_akjava,"2024-07-13 11:46:05",0.82535,104,akiakjava
255,12340242,xife6244,"2024-07-04 03:58:58",0.82296,30,xife6244
256,12217412,石井太晴,"2024-06-10 03:00:01",0.82057,10,taiqings
257,6682414,Alqwizz-89,"2024-07-26 10:57:06",0.82057,1,alqwizz89
258,12460220,Caine42,"2024-08-06 18:33:44",0.82057,33,caine42
259,12194525,tohifu,"2024-06-16 01:42:31",0.81818,8,tohifu
260,12214664,"Taise Kojima","2024-06-14 15:31:45",0.81818,1,taisekojima
261,9165137,Stanislaus,"2024-07-04 16:38:22",0.81818,1,mstanislaus
262,12298072,"Monica #4","2024-07-07 08:37:30",0.81818,28,monica0
263,12365350,"Daiki Takahashi","2024-07-13 10:34:45",0.81818,27,daikitakahashi
264,11765971,KimYongmin,"2024-07-12 02:21:41",0.81818,11,kimyongmin312
265,12375462,"Marlon Valencia","2024-07-14 10:56:12",0.81818,7,marlonvalencia
266,1912063,"B. N. Haqiqi","2024-08-04 12:21:41",0.81818,11,bnhaqiqi
267,12101535,Thtsuca,"2024-06-10 01:23:57",0.81578,3,matayaaaaaaaaaaaaaaa
268,6534411,"yuki matsumori","2024-06-12 06:14:09",0.81578,1,yukimatsumori
269,12249471,"Yueyang Liu","2024-06-13 08:35:31",0.81578,2,liuyueyang0510
270,12151284,OkamotoJP,"2024-06-15 17:53:47",0.81578,2,okamotojp
271,11085784,"Dmitry Lisin","2024-06-21 06:04:27",0.81578,5,lisindmitry
272,5121139,Fabbasso,"2024-07-04 18:23:25",0.81578,15,fabrizio78
273,12295847,"Steven Pressland","2024-06-23 17:57:01",0.81578,4,qlikstevenpressland
274,12305998,"Benjamin Storck","2024-06-26 11:52:40",0.81578,19,benjaminstorck
275,12327986,Rocko0On,"2024-06-30 09:57:33",0.81578,2,rocko0on
276,12304844,ArReMaToY,"2024-07-06 12:36:06",0.81578,4,arrematoy
277,12350794,"Dmitrii Malkov","2024-07-13 01:34:21",0.81578,31,dmitriimalkov
278,5754591,"Yunjia Liu","2024-07-10 06:09:27",0.81578,1,yunjialiu
279,12063944,"Francisco Moreno #2","2024-07-14 21:10:21",0.81578,1,engfranciscomoreno
280,12393047,ММА,"2024-07-20 17:56:18",0.81578,11,"advanced12iq,alissae,molivka"
281,11559065,"Yuichi Kawata0521","2024-07-17 02:38:50",0.81578,30,yuichikawata0521
282,12396895,"chen xingang","2024-07-19 03:36:17",0.81578,21,chenxingang
283,12393986,"Pat Bounds","2024-07-17 19:38:54",0.81578,15,patbounds
284,11637013,"Christian Santoni","2024-07-19 15:31:34",0.81578,2,christiansantoni
285,12405433,Khal,"2024-07-28 20:49:06",0.81578,32,jakubkhalponiak
286,12408084,Zkerrr_z,"2024-07-23 14:59:35",0.81578,9,zkerrrz
287,1661631,Learnblue,"2024-07-23 17:08:49",0.81578,1,learnblue
288,12421847,xhmyjae,"2024-07-23 20:52:07",0.81578,5,xhmyjae
289,12425539,NicoBalsamico,"2024-07-24 18:57:18",0.81578,2,nicobalsamico
290,12243666,gygyygygy,"2024-07-25 16:18:29",0.81578,5,gygyygygy
291,12427859,"Luthando Mayekiso","2024-07-27 20:51:54",0.81578,10,lumayekiso
292,12439860,Matthias1102,"2024-08-07 15:59:48",0.81578,58,matthias1102
293,12442769,喵喵拳,"2024-07-31 16:25:17",0.81578,1,linheshen
294,12392433,"yuki #6","2024-08-06 13:08:49",0.81578,4,yuki1120
295,10430205,Gracke,"2024-08-08 10:00:31",0.81578,23,a15976781631
296,12448886,HaileyQ,"2024-08-06 20:40:14",0.81578,7,haileyq
297,1920336,"Stan Vitko","2024-08-07 18:54:15",0.81578,3,vistrcm
298,12458534,Brindaxxx_0731,"2024-08-08 05:14:53",0.81578,2,brindaxxx0731
299,12177407,"Hiroaki Taniguchi 24","2024-06-12 04:42:22",0.81339,2,hiroakitaniguchi24
300,12218015,Takeyabu07,"2024-06-13 09:52:43",0.81339,5,takeyabu07
301,10484082,locquan.ai,"2024-07-10 03:30:52",0.81339,88,locquanai
302,12058877,"Vincent Thuilot","2024-07-02 11:55:41",0.81339,130,vincent62156
303,12350617,"Logan Cho","2024-07-05 08:08:17",0.81339,2,logancho
304,12308311,Cor,"2024-07-09 14:59:54",0.81339,9,corwincheung5
305,12388695,present01,"2024-07-15 15:55:07",0.81339,3,present01
306,12403652,luluorta,"2024-07-19 08:48:12",0.81339,11,luluorta
307,12418028,Chocorem33,"2024-07-22 18:55:23",0.81339,1,chocorem33
308,12381277,Yuto17,"2024-07-28 07:28:13",0.81339,19,yuto17
309,12231541,"johma tamakawa","2024-06-10 03:06:14",0.81100,13,johmatamakawa
310,12218286,taiqingss,"2024-06-10 03:13:11",0.81100,2,taiqingss
311,12168953,gochisosamaBOT,"2024-06-10 07:05:22",0.81100,10,gochisosamabot
312,12233948,naiseki0,"2024-06-10 07:44:35",0.81100,10,naiseki0
313,12234135,ikedaaaaaaaaaaaa,"2024-06-10 08:00:04",0.81100,7,ikedaaaaaaaaaaaa
314,12241216,YuntechIM_B11123206,"2024-06-12 16:30:35",0.81100,7,fguanxin
315,12211088,qian217,"2024-06-12 13:31:24",0.81100,3,qian217
316,12009848,shengyou9069,"2024-06-17 16:05:13",0.81100,16,shengyou9069
317,12249966,"ko-hsin,wu","2024-06-13 09:21:07",0.81100,2,kohsinwu
318,12251418,YuntechIM_B11123221,"2024-06-13 14:50:31",0.81100,3,yuntechimb11123221
